,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
a,0.0028299407088468597,0.14620446497566958,0.5381640982859478,0.15106736394717565,0.6881652898734965,0.1639997853637591,0.14807706704570164,0.9257635591819875,0.2862824346271516,0.025861490978535843,0.01695576568906465,0.5275294441670981,0.5652693454792241,0.3472349728587426,0.057486066316008,0.32357247098555597,0.00015243999798122404,0.6856330314206551,0.21801744573863574,0.5298860706648515,0.13633325298104468,0.13998007454339784,0.38533707704842496,0.029601048911654042,0.01576581643911923,0.024903661607292786
b,0.22978641720814405,0.010933104622731352,0.0006295765100206781,0.002773035182114443,0.027073575144319968,0.0002741761124002132,0.0004945574245801865,0.0043898274490016915,0.09860286830313163,7.54031637453953e-05,0.0009010369431385024,0.006690295672480866,0.09025552218191082,0.004335938098470417,0.09667081767183873,0.0013087201162377794,3.842455837892227e-05,0.026712224389915794,0.007916276818864493,0.002544494525651471,0.0885803335362938,8.852171794695918e-05,0.0010614429644179356,7.677244092421487e-05,0.004299121179100945,0.0002077628177629507
c,0.44777219955134023,0.0018895200855696377,0.08313828514739717,0.0025190982269910314,0.4772827186326274,0.0005764657277482714,0.0002289304193730508,0.001228216023502966,0.69870748758413,0.00012226890861353985,0.00022435384385274224,0.011821911415753592,0.004312266403157685,0.41574584312937046,0.16640508583674762,0.00117590888340912,3.998346815830514e-05,0.12138664054551589,0.15474937939797773,0.026136282448192903,0.18765226217315314,0.00023303654857832808,0.0006741321560104064,0.026459769526877203,0.013500567107078204,7.45052549776636e-05
d,0.36795641822092584,0.002474095967322812,0.0022309727518422568,0.042751454226135494,1.1681233651308665,0.0004953369504003438,0.003159517026167088,0.0028565229294317865,0.2955039109640445,9.2746797543538e-05,0.0006701069939319453,0.2526063785288789,0.0006713220682779148,1.3522814458699572,0.19544942921995925,0.0011986672780430216,1.8439119378617652e-05,0.1893163848503906,0.005258615288378493,0.0012958822338897517,0.09140148635053416,0.0002989836881937458,0.0035382762802804667,5.9674864912252865e-06,0.006818024879289267,5.018387206259035e-05
e,0.012396519722856773,0.5762837161652202,0.6514173632205198,0.7648183905725693,0.3776054084705722,0.2365731954439461,0.38518951302346055,3.0747412428375958,0.3846463877356222,0.05188748751102307,0.21376796971470896,0.8292542349309354,0.7930064859134691,0.6917222650205216,0.03863066518309804,0.47798918504442384,2.0301824343417608e-05,1.8543231910521065,0.9321145792569853,1.2048696340679248,0.1474803472298135,0.8252805659945416,0.36089923262116785,0.021794560324881293,0.09266857606412607,0.049732563354700596
f,0.0742072946387665,0.00014571586074509175,0.0014081226385830965,0.002778612054529999,0.16273211504883858,0.14631657862762038,0.0012044892506834688,0.0022431732884890085,0.20325651553776808,8.588913370536327e-05,0.0015874099243002875,0.053476885155234286,0.0038183446928780587,0.06718072826705972,1.1749752810478071,0.0014548641132749976,3.3616749539804557e-05,0.0322604150785616,0.017164460994197453,0.005661194659804483,0.018532281509504225,5.4982353545443216e-05,0.0016076585507942857,0.0018574645865145907,0.0007535169305282049,2.1576657606901463e-05
g,0.20472490648100633,0.00025546511654583003,0.000885768060932945,0.03100328772623043,0.11953613384758778,0.0005115691037979528,0.024754730610389724,0.0002762652274121417,0.2549613798323326,3.670296957601522e-05,0.0025629904957985014,0.006087869252355049,0.0012248635659630283,0.9530148421324101,0.09402421033527496,0.0004736364836652272,0.0,0.09977345013122607,0.0024679789239442523,0.0019691317666478262,0.1279075756509812,0.00010498659420316111,9.759262511237404e-05,1.9241591204491163e-05,0.002592595843770228,0.00016763184970082235
h,0.01364329491555188,0.001056790670625287,0.5977659776993852,0.0054383959664164325,0.026323716594431095,0.00018321924516346959,0.22750336049891887,0.0005224179540214263,0.0020912551259453546,0.00012561320914989996,0.00318518637165598,0.0016187405494591477,0.0005331806946593063,0.010883711235245898,0.02135437149252518,0.09439001974329991,9.345408068418392e-06,0.015111580775304896,0.31524000359351306,3.5562033867788263,0.001067402577627447,9.543970814637539e-05,0.378793431390925,0.00417137338851048,0.0005207320077776302,0.0006661331855107903
i,0.31644775181538237,0.10659711855756884,0.28148480328139763,0.49296640450796364,0.18335165422055663,0.28458562719123087,0.1516365615010144,0.76324181389379,0.02278229922939905,0.0027627374616109534,0.09787843031012254,0.6243521843282388,0.31769136939652737,0.3392124775962738,0.08775074676657127,0.1230941047519584,0.00031757757784894067,0.7276188663828457,0.5500572424023089,1.3425788170089765,0.10115331265358833,0.2695443493599866,0.3744207031848012,0.039418316655567054,0.028819725500699608,0.012117448344352997
j,0.011752630331449835,0.023224515573657463,0.00010504972231780533,0.004781874391012554,0.0045464507840003165,7.325116887545325e-05,3.876449263671153e-05,4.547955077320962e-05,0.001110929448139872,0.00010568462091800806,0.00012310556892397348,0.00011241886574553005,0.00010367640210242989,0.011086395999094681,0.00697589276024244,9.968471920386996e-05,8.402706711475636e-06,0.0005531870226818162,0.0002703105793352429,0.00011241265932976448,0.0005159490600668077,2.568995078923388e-05,3.2421571189517844e-05,1.8125358462742684e-05,1.9907841070618348e-05,1.0959785472129103e-05
