,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
a,0.00029775468238116677,0.07408068483146034,0.1256881076959921,0.07568128695516718,0.0754432537251326,0.10676027147154057,0.09561174593774145,0.1693683225444221,0.02054787205594709,0.13287222445103905,0.023138870881400018,0.11135159571613816,0.20190202492664658,0.03446982500066257,0.007997503300220293,0.1306487616024418,0.00022330676129157052,0.08996130326041446,0.06534907517206791,0.04636352852425208,0.02609029150139463,0.08014415757220363,0.22450410924166828,0.0824783708385573,0.029214629629623158,0.15385000669402024
b,0.021413557573012557,0.008523634673862858,9.167670318314975e-05,0.0005413703859653129,0.0023866465961398524,5.473525578234821e-05,0.0003012893506443703,0.0008508946105144455,0.008138125246795849,0.00013538802245034555,0.00117616249377199,0.0014824356350121365,0.029066207887980887,0.0008699938954141653,0.008990457487725971,0.0009079303730097334,5.299948831863428e-05,0.003754201131281374,0.002065475104662916,0.00015507712259501792,0.020873320126656863,0.00014753471398030814,0.0005093442958009531,0.0006053284360556991,0.008187885404408375,0.0019820600256735365
c,0.03953788417393456,0.0003892423877259331,0.021039755056969447,0.0005997608365648583,0.031081389281161012,0.00011525625362547258,5.4397952953757776e-05,8.548794291687319e-05,0.05737246997684051,0.000149248127121856,0.00042529255476130256,0.0020259778284048365,0.000899421961976757,0.0520463558102495,0.012800825437139339,8.631426456237154e-05,0.00012684431678806898,0.01572899092711767,0.026012159109414623,0.00432566397693791,0.04426452395015851,2.3062603042116707e-05,0.0002169443675882015,0.1525999143241857,0.005531060782571707,0.001634916009733893
d,0.051175513193112546,0.0009518491282537735,0.0005387317951588723,0.02342932378379876,0.12514367268076604,5.0884376430278945e-05,0.0022329375771607965,0.0004269558781926999,0.03887030246239531,0.00030076427137177734,0.0007103100441916712,0.07766874465676435,0.0003733378282968152,0.2373668093536922,0.020939586484746787,0.0001435513710217965,4.8526601565628524e-05,0.03889832992802793,0.0013127193213088848,5.561223334738473e-05,0.02191983346429272,0.0002876230831340711,0.0028110176213184943,0.0003568849697968163,0.007360581243479272,0.0011575142346372232
e,0.0011679981245796976,0.3222719869012711,0.1733512916581304,0.33027528423189106,0.044877757227284015,0.13030231771235956,0.20898034145545363,0.5260424560068264,0.040724286798887815,0.2399962174514342,0.4752183603084555,0.19510250416388167,0.2982735999608306,0.11350891623088981,0.005013983340158334,0.1967895556264138,0.00015410360775450032,0.3002268248980432,0.18821443516346564,0.11484840042875315,0.03655268552704431,0.6944497363664203,0.17922679818217227,0.09057231116012969,0.19544263719584556,0.5015074933650446
f,0.009037941547142042,3.2061618126940505e-05,0.00040153084354640925,0.0023330546199265955,0.01481651699166968,0.06868944794541171,0.00045034750411923716,0.0006585575891031211,0.023125685392689138,4.851036635028668e-05,0.004914634451202379,0.019142172657950086,0.0022361508288056436,0.0075277074581036885,0.1343046698725145,0.0003293802111761193,2.8440808221942282e-05,0.005167004703921624,0.002567531782324132,0.0010394769561739156,0.006468905502968064,2.7202514310995477e-06,0.0012959466477474695,0.005061969752081175,0.0019872054769728633,0.00013640050717047698
g,0.02007326152109353,3.9509742469960985e-05,0.00011216934575838923,0.014808325544830305,0.00879906424602821,0.00016451358641433888,0.01648346492885192,2.9317913447170148e-05,0.03158351122859989,8.511364277823026e-05,0.0011344299172762425,0.0013543021740749987,6.021193990825446e-05,0.15798443640603071,0.005930116784965464,9.767479229932799e-05,0.0,0.012510081899703443,0.0008826740424241659,9.537504377667074e-05,0.05200141658334504,3.367799499041427e-05,9.626260482103702e-05,0.00010914414826928063,0.0019991332920745197,0.0019214200773356224
h,0.0019398449858869528,0.00037371125551262596,0.17942483182381683,0.0017277018850640681,0.0024161859685902795,8.631497927802874e-05,0.19359781374293436,5.581639489772117e-05,0.00014739583212876992,0.0002804781181707484,0.0036818295710447685,0.0003056734547792297,0.00014581005311163167,0.0014940896332157388,0.003259662742229141,0.02805871736498664,9.114561685370227e-06,0.003040487952711421,0.09519423088685268,0.4461997029983722,0.0003023761762032014,1.500259880182175e-05,0.21181425510403346,0.022592136047009742,0.002065225980152466,0.0019039368714511846
i,0.04384984660311216,0.042233580915570466,0.053527248383744216,0.18371364163545328,0.01968362901205384,0.1307930378438227,0.08247958711538353,0.1472402034105415,0.00311483875368933,0.01917394280161604,0.20224842539098556,0.12995457110065575,0.10467004434951299,0.04075111959064896,0.010988996573726316,0.0624893498404841,8.878258234268036e-05,0.1085270219652379,0.09097269384968615,0.09245669486326015,0.02975487486359483,0.1621360436392077,0.18786130909918333,0.13966732816764543,0.051165919440935966,0.12297151497491711
j,0.0008264804385023815,0.00900268368794106,1.1514814827522126e-05,0.0014573006134166418,0.000497364074309603,2.2872841306499463e-05,6.741015574442384e-06,8.382746785843102e-06,7.692603474363179e-05,0.0001841503907037506,4.7000337043605086e-05,1.3706815845725128e-05,3.438375053700703e-06,0.0016197790591788476,0.00026821670399233626,3.2204253320437406e-05,0.0,0.000138850029301692,3.563829429245034e-05,1.0140680281546895e-05,0.00010780090902166407,2.7358218938364814e-05,4.033602556060403e-06,2.6114962515074653e-05,4.59448244458227e-05,0.0002266516510604115
k,0.014486138533316442,6.335314604951191e-05,0.04816241469588046,0.0004217124152358937,0.0024419258867524494,3.354599631329501e-06,5.408473404827864e-05,2.5831398053403387e-05,0.006770408417329004,3.654027595216399e-05,0.0004894177670841618,0.006931113742606735,3.8553152178144714e-05,0.011376443003976793,0.012123177468299374,0.00031724729628424225,2.1773675137273323e-05,0.013247961660372108,0.00983258583215857,4.441602702700112e-05,0.001677479377766115,2.592024090913037e-06,0.0007849345252716511,1.305748125753733e-05,0.0007522043983975593,0.0012729663960182392
l,0.08560810113448596,0.11332193623345067,0.03829951672225522,0.02198977230985305,0.05336543570170604,0.04125602215809801,0.04746635048443797,0.001575548108550851,0.05438286353352684,9.00906803648181e-05,0.023890727362138747,0.16367088169053856,0.001942265390192241,0.011182698714546087,0.036341848488398776,0.10232659585203104,1.5359724321642415e-05,0.015722554591557126,0.014766025114624244,0.016938752496258674,0.1084037153501758,0.00013644304905417496,0.007273917857061717,0.004960847464494777,0.019327730151827097,0.03235322376140936
m,0.0302059468039167,0.0013005177557464571,0.00014234050775100638,0.007696874852986208,0.03205547520509751,0.00011699637365895248,0.003836822646413224,0.0017688978107819422,0.04223703862746383,0.0001357660253050231,0.0037840204028742317,0.006085901776676325,0.02627136998972653,0.0020714476157192405,0.06340528519044157,0.0018542440965792688,0.00012524082908416126,0.021998461167085613,0.012576073640654287,0.001659051665199278,0.0307009916758082,9.113300248969864e-06,0.0003773367209128956,0.0004859959391818826,0.023301406548244565,0.0015267091408815634
n,0.22273826544180084,0.00044107945201697846,0.00014860876426383022,0.010296680327392988,0.13213070517540387,0.0007171179144471682,0.02737441991858706,0.002116928882227778,0.2694484115548975,0.0006186016716798245,0.1386680446979348,0.0012148453515868597,0.0042112316624955655,0.013065222957297753,0.1716623249716668,0.00042501139579471996,6.844360672995607e-05,0.027614569222943943,0.004595059189235293,0.0016849082379964198,0.12243589696430002,0.0007036292110820221,0.04445022765358237,5.287401603388433e-05,0.012952680258755934,0.000684522637601493
o,0.0004185502106838343,0.10963666662116667,0.19178445299386465,0.12059147163150225,0.005154819327014892,0.2716606922231416,0.10749127426602188,0.0835776973676701,0.05568554528867971,0.28135143076600516,0.008614091475387858,0.0951637732660305,0.12712823940406714,0.08587888078888038,0.037694897376843034,0.14456321964994118,4.47288675300576e-05,0.11138209994163573,0.08550351113661984,0.12817722335095544,0.003234440885484675,0.05189681941608127,0.10693726658952636,0.011440168747158681,0.42850708982683644,0.06442025846793564
p,0.01956543719239488,4.8974209867169306e-05,0.0001195835610610024,0.00047715549197448214,0.01529061023924817,0.00012697222424799977,0.00012373508587754244,3.992695060662643e-05,0.008609812473424938,0.0006422268500971719,0.0003227852850190716,0.004403641501383446,0.062096364944793044,0.0005633368304584845,0.02027368120383451,0.06172149509629901,6.827481855059734e-05,0.005894768847768537,0.03745072987324526,0.00014064057850721753,0.04916686326649936,0.0003062710020354807,0.0001849973289166624,0.23204485075006154,0.013829427137122548,0.000722324163838115
q,0.00011002254057930991,7.465759996555636e-07,0.001929152588948372,0.0002787999351447958,0.002758047129811202,2.902294063060355e-06,7.626199437752999e-07,5.103429102660262e-05,0.0006410409423407076,6.930052335755241e-06,0.0013276245700190453,3.017479185801594e-05,2.1913797004797065e-05,0.0015544418520954282,0.00024098219734013397,4.5485021345321316e-06,0.0022079181741912583,0.00027031069100500507,0.0023521989957229817,1.087064648189903e-05,0.00012078570260448547,0.0,1.4910733044313172e-06,0.004275827405158771,0.0,0.0002488600477244269
r,0.1101891700983247,0.07267036161825274,0.039804761206108374,0.0501006831022941,0.20649433897982125,0.12898631581541517,0.11577846773093547,0.013237336099638702,0.042314572229528676,0.0011954970283935583,0.002642349641594044,0.0027048741770570517,0.017675572610575847,0.0013731094152966302,0.136089999749896,0.15519634105615177,0.0002069343078937759,0.023108358427709776,0.0006484604510947754,0.03883508697454442,0.16053598339386618,0.0011152389730807214,0.013684712749192057,1.955694502249985e-05,0.015310802308567404,0.0027576213389615607
s,0.10426519667502274,0.01885483565681305,0.0026084507267439385,0.06970210373216866,0.11127521258187671,0.002955929965030938,0.03759121206891818,0.002481357345804464,0.1303027120453883,0.00041454313062972255,0.08526147795230941,0.025688271268878134,0.032503805163393795,0.058651622270156925,0.033469245037936315,0.02433027583699265,0.00018364153914227424,0.06877531442014236,0.07829894532573911,0.030095695084358515,0.13708737525575762,0.0004644027897726312,0.014590061641106373,0.001356982637414474,0.14454586313115503,0.0025999574732829835
t,0.1406187425380314,0.009550817435467707,0.0801310958906767,0.001084617356755859,0.04089264919612083,0.05732668399755023,0.008907516698108398,0.029488452112078543,0.1323540395890653,9.746173603103051e-05,0.00090147577149378,0.02093642402667802,0.0005427107383895553,0.13305213135893543,0.05641442890748379,0.04244467486016749,0.00012777265177454187,0.05696762098295528,0.21111253786756642,0.026180921959977357,0.14359725913993604,0.0002562714984584692,0.0011432498642432141,0.184705098835179,0.028657922470531047,0.003117838382724702
u,0.013530603918463573,0.12594687734359464,0.0351346063559417,0.040758232638468575,0.0024273860508959855,0.056564768985779085,0.04377987972176138,0.013500031934005563,0.0018131451300039442,0.32186363471416934,0.0035612667262798457,0.022807753441942448,0.04184958906955446,0.008950123922338408,0.1431161353806434,0.04064087729964397,0.9954636488915554,0.021726232860101457,0.05471962824482785,0.022025646591788184,9.695538560875394e-05,0.001983841816408417,0.0007150398976092199,0.012759794106356522,0.00174627060770539,0.01788894226604399
v,0.027911711242909254,0.000831703299269833,3.277373105135568e-05,0.008397625156485948,0.024018499518559857,7.255735157650886e-06,3.690535799341184e-05,2.546972633205828e-05,0.0254378182193934,2.6208197924310727e-05,0.0001212701765699355,0.007356749187150917,5.4376477672492946e-05,0.005142069440913606,0.019958936410082943,2.019470582136023e-05,0.0007137208164182965,0.008684863516407008,0.00016843376469721476,3.524566767031255e-05,0.0013890372750943484,0.00012817238561214504,1.3406063326771539e-05,0.019421803019170725,0.0011225263294275744,0.0024544215972719893
w,0.009038964390642057,0.00013474227155988328,3.552472248347053e-05,0.004261599753519506,0.010917596756368438,9.796184766095927e-05,0.0007160320361385982,0.000657343979549274,5.4653017341424175e-05,0.00013822304386042723,0.004242073588604542,0.004041398126474681,0.00020408817268684063,0.0012170963898715428,0.0514949673897688,0.0007319333776815869,0.0,0.0029451269894108186,0.009081588344620145,0.00877589528707598,3.857466876901889e-05,4.350570470613755e-06,2.690730154531529e-05,0.0010782668939800445,0.005701880386820792,0.0016109750431173655
x,0.000991703999490607,2.051614361258203e-06,6.307260531873856e-05,5.094359957837519e-06,0.014753050597079091,5.251770209347308e-06,4.208027904045851e-06,9.451687651151954e-07,0.002560547742316956,7.74905852088995e-06,0.0,0.00014048314051231506,1.6023082759519964e-06,0.0007042796919651514,0.001299160194161681,3.6742027855595633e-06,0.0,3.093407222593924e-05,9.614561922518065e-07,1.6456032460900028e-06,0.0012455095371495064,9.342277642160063e-07,0.0,0.0293278641028878,0.0003510660301107723,1.6538167728522037e-05
y,0.029420942729578053,0.08929507482872458,0.007310795973517777,0.029262798577557352,0.02035734979724534,0.0031198404773542508,0.00657253784882781,0.006684553385439319,2.527346525009493e-05,0.00014905912569451724,0.01346499160815962,0.10034245419209235,0.04781078787835513,0.017085364599663415,0.005400523043963614,0.0057471021763772796,2.0423369702403657e-05,0.04356942296707595,0.006244195133684673,0.01951052770098501,0.0010474151535870373,0.005719846122795409,0.0014730399285093352,0.00398750885039593,6.290960545550979e-05,0.023347325148252857
z,0.001580419707602078,1.3167954639594198e-06,0.00010599083300621158,0.00010772786662433479,0.0005214180538633969,1.2281352582863623e-05,6.71241732655081e-05,2.2504018217028466e-06,0.00366070394133221,0.0,1.3067024397865649e-05,7.957611502680671e-05,1.728112851464408e-05,0.0004926987097984789,0.0005203882618207463,8.912489559833243e-05,0.0,0.00010830294584262984,4.243290281734648e-05,0.0003337993001780973,0.0008856883629130603,5.156570894643251e-06,3.390039002172113e-06,0.0,0.0008299975385327019,0.05768560155616283
