,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
a,0.00021571470109582556,0.09863985541297332,0.15094881561175044,0.09168598958480147,0.08247700541600703,0.08520535381159276,0.09163312059523628,0.1824620072631283,0.02523201677240557,0.11716640399733215,0.023894051657408263,0.11264356895563996,0.1930062923738318,0.046598185363091495,0.006900691082374918,0.12782951212653823,0.003810250724491335,0.09275946370950977,0.04734798123252279,0.0528269607918033,0.031171054210454033,0.06912283837567743,0.21483812360249757,0.11333534342500452,0.01663551458873534,0.171868268513149
b,0.02218160175400437,0.005506527027736393,0.0003064948313089552,0.0012027348033546007,0.0035180566272073215,0.0003280258983676766,0.0009370516550836824,0.0006927574008755947,0.007457869499054311,0.00022331515967580518,0.0008530867920867088,0.0019180846047627867,0.031555651507236146,0.000572458389789413,0.009377738311103159,0.0004922421737934549,0.0015080698907764844,0.002869485798411404,0.0013420480054029973,0.0007475183316003089,0.020893441402970267,3.2762787372938776e-05,0.0005501051090176647,0.002791562146234249,0.01467158452162607,0.002303484302343189
c,0.04330728297563172,0.0017901613309446226,0.018103923620094876,0.0019837500739155957,0.04116342162558463,0.0005685439718374811,6.0870805086882616e-05,0.00019528896757310132,0.06311077196073132,0.00022931212019102138,0.00013386178634569438,0.002356313893880109,0.0011032333863083565,0.050159979471025976,0.014448159058034166,0.0010552774606847092,0.0010925677012558921,0.016168160068817865,0.026123305604504585,0.004763054006445224,0.050607139314364245,0.00011893627330939515,0.00044056575652823884,0.10608262184281819,0.008249594176066553,0.0
d,0.038033690441529905,0.0006720760831716237,0.0006343420060125714,0.020143616615442544,0.1021090960069969,0.00011557808913280882,0.0012419720235696927,0.0007498568698480639,0.03367396874270765,0.00026893885416316916,0.001273757308388803,0.06891663265603415,0.00022020946284014706,0.20558789911656425,0.02210931462200095,0.0017788153882437236,0.0,0.03076154512604856,0.0013419479737332553,0.00022861425160675207,0.02499375490228248,0.0006267277668742024,0.001389569112378199,0.0015689417510718689,0.004864291818255465,0.0006922424034792517
e,0.00121566469471936,0.3271646253942039,0.15205464720413953,0.30885479756040196,0.04490712979548113,0.121585811219848,0.23964494674586256,0.5187079790910537,0.036704059444219186,0.1517712721003194,0.47939827716412603,0.18669651437319262,0.3179973884371763,0.1117569455014566,0.005223803453609119,0.19519866314668763,0.0,0.3085411225935281,0.1881481277397596,0.11578968262287989,0.037847630468550685,0.6917691329738962,0.18339157548129253,0.08051561571205415,0.15102274794796017,0.45391689943982233
f,0.008876229169322814,8.98902095580152e-05,0.00012991544106459598,0.0011920614305310723,0.013597968342472861,0.0758672313506126,0.0005012411741604769,0.0001469245859354831,0.023764330164993287,0.0002509325168519983,0.00300847515061061,0.011183803880759912,0.0014196010404944422,0.007354154978948252,0.11109785253026298,0.00045609304332746897,0.0,0.004845917059918381,0.002573631655512233,0.0005962479457037161,0.004491145519710031,3.062428556213461e-05,0.0007807277321796578,0.004342171720339648,0.0016773522333260909,0.0
g,0.02045207481140107,2.9745832312868177e-05,0.0001454988235498119,0.010968597713045886,0.010029990232370318,0.0005372229941916213,0.014391000190046181,8.323394573125341e-06,0.030334652518205,0.0,0.003725469584139609,0.0010016897082912907,0.0002775147551016021,0.17171373884443994,0.007897919095834434,0.000644313177569305,0.0,0.014333876146943763,0.0005381638884108809,0.00014215351182496122,0.03984853759751338,4.225798542175691e-05,2.6189552456286365e-05,0.0,0.001201564756433796,0.001547562185626442
h,0.0026134550470195716,0.00015413062799435115,0.14562819999856844,0.0013418336966038017,0.0021187231098967175,0.0,0.15667668746520383,0.00021952275296116574,8.610849140654161e-05,0.0,0.0024408029001804304,0.00018532126796903147,9.192648046731573e-05,0.0009555826585513202,0.0028935045294569708,0.02717293362180612,0.0,0.001435113769322625,0.0730358917760499,0.41448593094299113,0.0004994065765129566,4.225798542175691e-05,0.19353724456080884,0.015602307655664767,0.00026953461371359675,0.006038951754365528
i,0.032767783838635406,0.05332614483102014,0.05916824374707726,0.1917663868518984,0.016388240277881647,0.15062847142013003,0.08626590000289679,0.136953813922507,0.0010320659332180647,0.013684386257484731,0.22685399945153817,0.14377372856227014,0.10852663176686525,0.046581019807768166,0.011690648103064097,0.05315378062156451,0.005247590018831222,0.10710552691327073,0.10352511652791427,0.11389909226559619,0.02550651892585267,0.1878472162853827,0.2031719406934704,0.12303607429348261,0.049548723979780655,0.15072388461052802
j,0.00119235727447154,0.005039112167274253,2.4074822034238958e-05,0.0013628261884617839,0.00023808257450998326,0.0,0.0,0.0,0.00016140309103745976,0.0003890018291606518,7.350899814476274e-05,0.0,2.4046921151799535e-05,0.0017597667759515151,0.0009047098159762731,2.214521980954117e-05,0.0,2.2518375693172634e-05,9.474268915068166e-06,7.641542998979741e-06,5.434433548858049e-05,0.0,2.22459633577621e-05,0.0,0.0,0.0
