"","a","b","c","d","e","f","g","h","i","j","k","l","m","n","o","p","q","r","s","t","u","v","w","x","y","z"
"a",0.000300479686869556,0.0792924749301071,0.132333272326655,0.0689545768443211,0.065689231319956,0.0914448581746339,0.0932975663196911,0.16324565477586,0.0305606024506136,0.132665600084687,0.0359601071194791,0.124757438821536,0.206481678049817,0.0519357293128243,0.00672002516777251,0.126568508618421,0.00102350653885887,0.107471227097204,0.0451661917213929,0.0566360315961198,0.0407290375698818,0.106316006354639,0.202690160397943,0.116880021468255,0.0302732325357549,0.236939446550799
"b",0.02439844427614,0.00592945587776974,0.000154811367046569,0.00126574967988439,0.00258432438613748,0.000152878222722665,0.000311601283299492,0.000774085617388672,0.0105258398498209,0.000386807008724644,0.0019109361138887,0.00158221339545387,0.0329685517575415,0.00064852369433113,0.0113006571744326,0.00051191855971745,0.000257988633392893,0.0041870729706994,0.00163999754840302,0.000271964258600221,0.0264630356399842,0.0000672329655379252,0.000558326871525271,0.000303136708775876,0.00825509390248758,0.0019767055877507
"c",0.0475439113934312,0.0010247616175053,0.0204435066631588,0.00114984036083522,0.0455593087454898,0.000321432290899368,0.000144240100173377,0.000216578981721973,0.0745869085022112,0.000627221305468345,0.000475813856216159,0.00279580866340671,0.00157518537002388,0.0621828596178953,0.0194524766875011,0.000459968158573319,0.000268455403097823,0.0190270459776463,0.0320590864413426,0.00279353506440295,0.0560603951640932,0.000176993156064048,0.000354598513794168,0.104476650120628,0.0259235421759087,0.000708860976265604
"d",0.0390691681218011,0.0013418002828865,0.00054859089571973,0.0195138669174988,0.111503917839902,0.00027619558816828,0.00199068805972527,0.000503708480823537,0.0315449935212937,0.000475777269077744,0.00142117552962211,0.0597398404273032,0.000245220633806671,0.202259935251474,0.022847711933616,0.000468870325245869,0.000123803198010663,0.0296748599572577,0.00108941569102082,0.000138508315667447,0.0273058442464622,0.000227080545553538,0.0018611595652192,0.0000235626768256624,0.0130918467433848,0.000477461469714327
"e",0.00131624749343745,0.312541495393208,0.160181980923538,0.349100739608637,0.0360445511996829,0.131911162306144,0.242692841328795,0.542188275262078,0.041060938143,0.266175089179886,0.453363135031535,0.196113478831952,0.28966953758475,0.103460489650546,0.00451586025822613,0.186970103181329,0.000136309697201724,0.290660425686092,0.193104114445488,0.128780578396138,0.0440591893158849,0.626807309431984,0.189835672984789,0.0860560274828773,0.177940505826624,0.473167609752801
"f",0.0078792409278353,0.0000790274854941806,0.000346254009129265,0.00126829523881573,0.0155336918410894,0.081584855440653,0.000758901550314424,0.00039555271821098,0.0216975993477791,0.000440598474126378,0.00336660885548669,0.0126469513728359,0.00139476556771298,0.0100481817530972,0.137352648496547,0.000569084200824667,0.000225708235534146,0.00505673769534453,0.00355592339609227,0.000605087805426132,0.00553644817644869,0.0000417595451923986,0.000845640320992699,0.00733421647983815,0.00144688943611619,0.000205285527582748
"g",0.0217374433328245,0.000138548855895735,0.000217808260341089,0.0141514257619038,0.0114103934955087,0.000285246496143683,0.015596987210289,0.0000487155683472212,0.0272170850421321,0.000188280771891047,0.00543563849992109,0.00143974328675314,0.000447418361715183,0.142541865713014,0.0109912731958324,0.000185267501843372,0,0.015639233563626,0.000511285731587072,0.000210467523354331,0.0382118987132627,0.0000797381731140221,0.0000513344446093817,0.0000759756047759133,0.00497825514795049,0.0015948898727715
"h",0.00144862857772186,0.00057313945761418,0.146989232775745,0.00248235146743698,0.00251274618760621,0.000102161462295056,0.143340966211531,0.0000921212118634795,0.00022324113810915,0.000644377069530362,0.00675520322825199,0.000382822091354431,0.000194760330482253,0.0016278702458425,0.00249629037205095,0.0369215712046964,0.0000627465651600757,0.0023687017032062,0.0653075738609756,0.380099154376948,0.000318882435031617,0.0000724872354217038,0.199248154250844,0.0164707072596086,0.000999900082633678,0.00633775188536242
"i",0.0336000401276274,0.057811841466362,0.0692164439194157,0.22501411908663,0.0175019423447015,0.158682477902755,0.0955402645081055,0.134587183115633,0.00243200666700824,0.0141724320351546,0.207582417873848,0.147655415826893,0.116046354856421,0.0507358094460702,0.0102579157794622,0.0481494523026668,0.00213226667428445,0.114052399528086,0.113954141531714,0.143499405834533,0.0302191650334846,0.20472112800975,0.196948066783879,0.155643595964981,0.0553391100973674,0.115288327860917
"j",0.00124788009545496,0.0125955751022691,0.0000258314769706827,0.00218268272206209,0.000433984191922689,0.0000408442165584822,0.0000244239901206752,0.00000801969247033743,0.000118591534473636,0.000542146377617863,0.000261084608427065,0.0000265863638906038,0.0000378709329481304,0.00165818568597349,0.000815470216014019,0.0000389926442235659,0.0000564171174048947,0.0000867106533923516,0.0000559996444743815,0.0000120150486643594,0.000154137807116859,0.0000195117267958861,0.0000170539869017869,0.0000715681492425465,0.0000382266725191778,0.000104274043914944
"k",0.0111168473906945,0.000050768500934243,0.0289239843078175,0.000153690040790176,0.00157232578075008,0.0000651235384316561,0.0001639894628067,0.000041247661637657,0.00458092828033962,0.000316584775759092,0.000961452339330384,0.00466236163601466,0.0000512604143489339,0.00771859882616718,0.00751794261765402,0.00032044889556068,0,0.0152098861778586,0.00817581298460924,0.0000495891854867977,0.00137545516189208,0.00000909215707624194,0.000561435163552955,0.0000393854898022839,0.000632822108450497,0.00030588805241101
"l",0.115464077710691,0.126582161754732,0.0366415369865582,0.0147616886506211,0.0506202540085017,0.0361903992705482,0.0382048516599116,0.00222041124177123,0.0460662489060808,0.000580784415584725,0.0224166727073292,0.13635548038729,0.00168267688295578,0.00954012119947237,0.042725480336365,0.102869946980349,0.00159752275325385,0.0135217689570694,0.0115766767988396,0.0105225845142248,0.103315237765948,0.000313025315540127,0.00800645103844504,0.00234253810989314,0.0283350769607987,0.0119640203290294
"m",0.0302467245687937,0.00169700893201703,0.000655324654494407,0.00829675698442621,0.0356682871569126,0.000382465902285568,0.00621123421001283,0.00224709514763625,0.0339208216258134,0.000665785115437398,0.00379455492113328,0.00544430452938357,0.0350921042854567,0.00415047414795394,0.0638565177790772,0.00624140804878213,0.000235706624676477,0.0274516387616446,0.0135071375571183,0.00283017535305352,0.0413412768140823,0.0000856090380225597,0.000573309036841447,0.00091991973863554,0.0454600758676795,0.00159048816644986
"n",0.210780944229001,0.00113601273727979,0.000211476668520842,0.00345504806434347,0.138816160390602,0.000233802387529426,0.0413566295717476,0.00454206457044414,0.259695156515048,0.000755176728836879,0.109092441057682,0.0013881797142273,0.0032108381960406,0.0108833723363776,0.205512691407997,0.000465232285471865,0.000442856560308605,0.0251361853183929,0.00190075531882471,0.00106997262283808,0.117829388155718,0.000116304081658444,0.0415480617801222,0.000225961705873151,0.0253736261988137,0.00145110271167167
"o",0.000491200864657705,0.10597887427819,0.195208218921325,0.0859197012346808,0.00692057476518564,0.271967160153872,0.0832485623342596,0.085505802103227,0.0891288366961304,0.275932997525059,0.0128862642013112,0.0914957116523902,0.123054712508249,0.0694862013901039,0.0245789514095661,0.141354623163603,0.000315356322839422,0.113912200595697,0.0823972909963605,0.111294120328222,0.00318366032908721,0.0540064858642368,0.116644414331535,0.0106562543778032,0.287838331676006,0.0683219429112943
"p",0.0215379335629687,0.000296730830314557,0.000323258192840579,0.000790878833296984,0.0163776743643552,0.000123849414681954,0.000259494202827333,0.00010441434221409,0.00952328151025204,0.00111513867274641,0.00154136361577245,0.0045005919470884,0.0873659652944908,0.000902756993456091,0.0261748280785312,0.0534111344382627,0.000064811297167343,0.00652381990980117,0.0396217137127499,0.00045900691039937,0.0406332087339469,0.000148419332916555,0.000391428882801007,0.264012473231912,0.0478400299651938,0.000459520593890513
